id,lat_first,lon_first,lat_last,lon_last,time_diff
1,37.782551,-122.445368,37.786956,-122.440279,128
2,37.800224,-122.43352,37.800066,-122.436167,148
3,37.784345,-122.422922,37.785292,-122.416257,150
4,37.780666,-122.390374,37.790738,-122.389616,336
5,37.779448,-122.438702,37.782286,-122.439266,400
6,37.797847,-122.429388,37.802729,-122.428751,168
7,37.766104,-122.409291,37.759337,-122.414862,142
8,37.773187,-122.421922,37.750493,-122.444141,558
9,37.790859,-122.402808,37.785839,-122.393159,312
10,37.782651,-122.400628,37.78566,-122.401267,208
11,37.803986,-122.426035,37.799209,-122.420607,164
12,37.795656,-122.400395,37.795203,-122.400304,6
13,37.778738,-122.415584,37.785346,-122.400692,292
14,37.765769,-122.407201,37.764681,-122.426649,244
15,37.782012,-122.4042,37.748175,-122.417729,452
16,37.786237,-122.401006,37.774157,-122.409033,276
17,37.770015,-122.422386,37.731762,-122.445163,564
18,37.789648,-122.412077,37.792464,-122.391334,440
20,37.797036,-122.405632,37.78906,-122.402127,248
21,37.786077,-122.412852,37.786888,-122.406951,264
22,37.781713,-122.423327,37.770263,-122.425516,260
23,37.782268,-122.43247,37.788091,-122.44029,172
24,37.771139,-122.408305,37.781174,-122.417093,172
25,37.77722,-122.394735,37.760157,-122.394297,220
26,37.791324,-122.422464,37.763189,-122.434609,752
27,37.781642,-122.390282,37.789131,-122.388019,296
28,37.79166,-122.417559,37.772007,-122.42334,402
29,37.766333,-122.402046,37.783106,-122.413959,480
30,37.787769,-122.39958,37.789237,-122.391972,210
31,37.774975,-122.41327,37.788045,-122.423595,456
32,37.791842,-122.416712,37.795874,-122.401973,240
33,37.795722,-122.423675,37.787865,-122.39521,608
34,37.770746,-122.412642,37.768521,-122.405045,192
35,37.794336,-122.418095,37.779607,-122.415136,248
36,37.771233,-122.408811,37.775137,-122.413351,176
37,37.784542,-122.395549,37.780665,-122.390627,174
38,37.771276,-122.411758,37.759204,-122.432625,336
39,37.796449,-122.397026,37.793123,-122.402864,320
40,37.785713,-122.416479,37.765235,-122.415379,304
41,37.789596,-122.425552,37.787437,-122.416635,204
42,37.775321,-122.413403,37.779216,-122.410995,148
44,37.791895,-122.409577,37.791731,-122.410534,164
45,37.781994,-122.392047,37.770194,-122.413361,282
46,37.774186,-122.401893,37.781786,-122.392084,236
47,37.783883,-122.40209,37.784524,-122.432657,532
48,37.79857,-122.398724,37.795818,-122.423197,270
49,37.77876,-122.414728,37.763592,-122.424095,268
50,37.759498,-122.412605,37.740576,-122.423235,462
51,37.772641,-122.407151,37.766937,-122.389738,220
52,37.796529,-122.403555,37.768153,-122.428242,648
53,37.78953,-122.422114,37.798042,-122.405605,312
54,37.780775,-122.409052,37.766076,-122.430262,452
55,37.785421,-122.39386,37.778317,-122.393452,176
56,37.765439,-122.41322,37.773688,-122.405421,232
57,37.785371,-122.400135,37.799882,-122.412322,556
58,37.778404,-122.405397,37.792949,-122.404431,287
59,37.7857,-122.422285,37.797791,-122.430236,256
60,37.784995,-122.427399,37.779558,-122.496041,740
61,37.783026,-122.44726,37.780839,-122.47059,284
62,37.792433,-122.409754,37.798365,-122.410405,224
63,37.776837,-122.410165,37.792362,-122.434484,516
64,37.783023,-122.409448,37.770178,-122.422453,252
65,37.804293,-122.413368,37.791416,-122.402137,276
66,37.731511,-122.426137,37.761048,-122.406187,204
67,37.777529,-122.404292,37.780873,-122.408397,152
68,37.778111,-122.420673,37.766899,-122.459353,726
69,37.773494,-122.454469,37.771639,-122.445605,240
70,37.78947,-122.428933,37.773195,-122.422265,476
72,37.793004,-122.393026,37.802277,-122.428157,512
73,37.777021,-122.392963,37.779327,-122.393334,324
74,37.773585,-122.411811,37.78527,-122.406345,268
75,37.800418,-122.436116,37.795628,-122.435118,128
76,37.774898,-122.431055,37.779097,-122.438662,164
77,37.788597,-122.413274,37.769409,-122.426633,580
78,37.78384,-122.416178,37.782283,-122.4107,162
79,37.784124,-122.433697,37.790605,-122.434174,156
80,37.795754,-122.438702,37.79152,-122.442553,260
81,37.797592,-122.408882,37.789347,-122.409206,168
82,37.773111,-122.437609,37.7759,-122.421055,232
83,37.766042,-122.402195,37.766287,-122.401702,116
84,37.782109,-122.407182,37.793518,-122.399295,656
85,37.785963,-122.419248,37.784627,-122.431449,160
86,37.773993,-122.400017,37.766625,-122.393051,456
87,37.773148,-122.413456,37.748293,-122.417812,492
88,37.779112,-122.393033,37.784381,-122.398215,176
89,37.743816,-122.424997,37.752708,-122.410262,408
90,37.740964,-122.388345,37.787254,-122.403226,568
91,37.775292,-122.422199,37.789139,-122.425173,216
92,37.781876,-122.401415,37.77767,-122.395692,144
93,37.794638,-122.409612,37.798476,-122.428458,390
94,37.78686,-122.419952,37.788526,-122.407013,180
95,37.789761,-122.395874,37.78694,-122.399961,284
96,37.780271,-122.412172,37.781952,-122.419648,136
97,37.795047,-122.40158,37.797695,-122.408314,116
98,37.76999,-122.413175,37.761594,-122.412345,168
99,37.774747,-122.401226,37.785622,-122.423291,640
100,37.787702,-122.413634,37.785494,-122.402749,408
101,37.7905,-122.405633,37.790394,-122.39854,196
102,37.789025,-122.388021,37.792317,-122.39138,220
103,37.774765,-122.419009,37.782508,-122.446275,524
104,37.784537,-122.404406,37.7785,-122.408668,144
105,37.768172,-122.4229,37.774473,-122.39004,432
106,37.782522,-122.406038,37.758277,-122.444391,948
107,37.778051,-122.393608,37.772918,-122.391417,148
108,37.787061,-122.40002,37.788693,-122.401997,852
109,37.775988,-122.414498,37.772827,-122.446641,564
110,37.791201,-122.407814,37.799675,-122.414121,300
111,37.798344,-122.425785,37.7982,-122.433948,144
112,37.788732,-122.400901,37.793248,-122.404601,236
113,37.801588,-122.424491,37.798779,-122.453611,402
114,37.771764,-122.406244,37.752243,-122.418742,544
115,37.78131,-122.395585,37.792644,-122.415914,448
116,37.789399,-122.430116,37.791001,-122.425886,232
117,37.795188,-122.427561,37.783936,-122.403677,524
118,37.749453,-122.405673,37.740044,-122.411231,248
119,37.798076,-122.435185,37.790898,-122.447597,336
120,37.788676,-122.421908,37.801213,-122.42453,109
121,37.788789,-122.426651,37.786817,-122.443322,112
122,37.770539,-122.439604,37.764442,-122.435408,144
123,37.788836,-122.419344,37.778776,-122.414774,184
124,37.784416,-122.391014,37.790881,-122.389773,240
125,37.73447,-122.471517,37.768402,-122.478379,348
126,37.775432,-122.413793,37.759974,-122.421661,324
127,37.791398,-122.402616,37.790445,-122.404014,180
128,37.787405,-122.408215,37.791648,-122.412127,364
129,37.783765,-122.402035,37.778902,-122.397108,212
130,37.777063,-122.431439,37.77086,-122.425529,224
