159,SOMA,SOMA,344
160,SOMA,SOMA,486
161,Nob Hill,Civic Center/Tenderloin,192
162,Mission,Mission,212
163,Marina/Cow Hollow,Pacific Heights,188
164,Financial District,SOMA,624
165,SOMA,Financial District,204
166,Pacific Heights,Hayes Valley,300
167,Pacific Heights,Hayes Valley,510
168,Western Addition/NOPA,Pacific Heights,240
169,Civic Center/Tenderloin,Civic Center/Tenderloin,100
170,Financial District,SOMA,536
171,Inner Sunset,Inner Sunset,468
172,SOMA,Mission,300
173,SOMA,Castro,660
174,Lower Haight,SOMA,628
175,Mission,Noe Valley,228
176,Pacific Heights,Hayes Valley,348
177,Financial District,SOMA,324
178,Mission,Castro,224
179,Pacific Heights,Western Addition/NOPA,460
180,Pacific Heights,Western Addition/NOPA,332
181,SOMA,SOMA,124
182,Marina/Cow Hollow,Marina/Cow Hollow,144
183,Financial District,Marina/Cow Hollow,496
184,Bayview/Hunters Point,SOMA,306
185,Bayview/Hunters Point,SOMA,268
186,Hayes Valley,Castro,224
187,Western Addition/NOPA,Western Addition/NOPA,210
188,Western Addition/NOPA,Glen Park,972
189,SOMA,SOMA,228
190,Nob Hill,Pacific Heights,164
191,Bayview/Hunters Point,Bayview/Hunters Point,138
192,SOMA,Pacific Heights,306
193,Union Square,Union Square,192
194,Mission,SOMA,528
195,Noe Valley,Mission,152
196,Noe Valley,Mission,204
197,SOMA,SOMA,248
198,SOMA,SOMA,504
199,Marina/Cow Hollow,Marina/Cow Hollow,248
200,Civic Center/Tenderloin,Pacific Heights,424
201,SOMA,SOMA,136
202,SOMA,Potrero Hill,232
203,Western Addition/NOPA,Western Addition/NOPA,252
204,Financial District,SOMA,228
205,Financial District,Financial District,64
206,Russian Hill,Marina/Cow Hollow,288
207,North Beach/Telegraph Hill,Marina/Cow Hollow,396
208,SOMA,SOMA,198
209,Castro,Noe Valley,248
210,SOMA,Pacific Heights,672
211,Mission,Potrero Hill,438
212,Civic Center/Tenderloin,SOMA,172
213,Civic Center/Tenderloin,SOMA,272
214,Civic Center/Tenderloin,SOMA,500
215,Hayes Valley,Western Addition/NOPA,176
216,Castro,SOMA,448
217,Financial District,SOMA,596
218,SOMA,Civic Center/Tenderloin,492
219,Pacific Heights,SOMA,606
220,Civic Center/Tenderloin,Mission,216
221,Hayes Valley,Castro,248
222,Castro,Lower Haight,120
223,Western Addition/NOPA,Mission,380
224,SOMA,SOMA,140
225,SOMA,SOMA,192
226,SOMA,SOMA,324
227,Castro,SOMA,648
228,Pacific Heights,Russian Hill,464
229,Portola,Excelsior,164
230,Western Addition/NOPA,Mission,396
231,SOMA,Nob Hill,416
232,Pacific Heights,Marina/Cow Hollow,332
233,Pacific Heights,Marina/Cow Hollow,280
234,Pacific Heights,Marina/Cow Hollow,936
235,Pacific Heights,Marina/Cow Hollow,144
236,Mission,Mission,240
237,Western Addition/NOPA,SOMA,436
238,Western Addition/NOPA,SOMA,104
239,Western Addition/NOPA,SOMA,312
241,Financial District,Financial District,168
242,Russian Hill,Financial District,436
243,Marina/Cow Hollow,Marina/Cow Hollow,185
244,Marina/Cow Hollow,Marina/Cow Hollow,452
245,Laurel Heights,Laurel Heights,188
246,Laurel Heights,Laurel Heights,378
247,Portola,Miraloma,736
248,Financial District,Mission,668
249,SOMA,SOMA,138
250,Pacific Heights,Hayes Valley,180
251,Castro,Mission,252
252,SOMA,SOMA,140
253,Nob Hill,Civic Center/Tenderloin,312
254,Financial District,SOMA,180
255,Pacific Heights,Western Addition/NOPA,560
256,SOMA,SOMA,152
257,Dogpatch,SOMA,1272
258,Union Square,Hayes Valley,688
259,SOMA,SOMA,136
260,SOMA,SOMA,280
261,SOMA,Union Square,200
262,SOMA,SOMA,472
263,Financial District,North Beach/Telegraph Hill,208
264,Civic Center/Tenderloin,SOMA,232
265,Civic Center/Tenderloin,SOMA,252
266,Mission,Hayes Valley,560
267,Mission,Hayes Valley,252
268,Western Addition/NOPA,Pacific Heights,408
269,Union Square,Nob Hill,292
270,Marina/Cow Hollow,Embarcadero,432
271,Haight-Ashbury,Castro,264
274,Haight-Ashbury,Castro,212
275,Haight-Ashbury,Castro,504
276,Lower Haight,Noe Valley,402
277,Mission,Mission,260
278,Mission,Mission,268
279,North Beach/Telegraph Hill,Haight-Ashbury,852
280,Civic Center/Tenderloin,SOMA,208
281,SOMA,Civic Center/Tenderloin,164
282,Civic Center/Tenderloin,Laurel Heights,484
283,SOMA,Union Square,576
285,Civic Center/Tenderloin,Hayes Valley,148
286,Western Addition/NOPA,Western Addition/NOPA,272
287,Western Addition/NOPA,Western Addition/NOPA,590
288,Western Addition/NOPA,Western Addition/NOPA,1008
289,Western Addition/NOPA,Western Addition/NOPA,944
290,Hayes Valley,Castro,288
291,SOMA,SOMA,100
292,SOMA,SOMA,160
293,Mission,Bernal Heights,212
294,Marina/Cow Hollow,Marina/Cow Hollow,268
295,Pacific Heights,Hayes Valley,444
296,Civic Center/Tenderloin,SOMA,128
297,Civic Center/Tenderloin,SOMA,231
298,Mission,Noe Valley,184
299,Mission,Noe Valley,720
300,SOMA,Mission,320
301,Chinatown,Castro,888
302,SOMA,Potrero Hill,256
303,Pacific Heights,Western Addition/NOPA,205
304,Marina/Cow Hollow,Nob Hill,816
305,SOMA,SOMA,448
306,SOMA,SOMA,140
307,North Beach/Telegraph Hill,Pacific Heights,352
308,Castro,Hayes Valley,332
309,SOMA,Mission,436
310,SOMA,SOMA,252
311,Nob Hill,Pacific Heights,228
312,Pacific Heights,Western Addition/NOPA,428
313,Mission,SOMA,270
314,Mission,Mission,156
315,Financial District,North Beach/Telegraph Hill,304
316,Financial District,North Beach/Telegraph Hill,152
317,Mission,Potrero Hill,296
318,Civic Center/Tenderloin,Western Addition/NOPA,200
319,Western Addition/NOPA,Hayes Valley,256
320,Union Square,Marina/Cow Hollow,844
321,Civic Center/Tenderloin,Union Square,256
322,SOMA,SOMA,188
323,Russian Hill,Pacific Heights,296
324,Castro,SOMA,500
325,SOMA,SOMA,196
326,Haight-Ashbury,Western Addition/NOPA,156
327,Pacific Heights,SOMA,472
328,Civic Center/Tenderloin,SOMA,292
329,SOMA,Mission,528
330,Union Square,Pacific Heights,420
331,SOMA,SOMA,124
332,Mission,Mission,136
333,Pacific Heights,Financial District,392
334,SOMA,SOMA,504
335,SOMA,Mission,140
336,SOMA,Mission,368
337,Portola,Diamond Heights,300
338,SOMA,SOMA,144
339,SOMA,Castro,780
340,Civic Center/Tenderloin,SOMA,304
